Categorie Propriete;Type Propriete;Sous-type Propriete
Outdoor Structure;Outdoor Structure;Agricultural equipment
Road Vehicle;Road Vehicle;Agricultural vehicle
Outdoor;Outdoor;Airfield/runway
Non Residential;Transport;Airport - fuel storage
Non Residential;Transport;Airport - hangar
Non Residential;Transport;Airport - terminal
Non Residential;Transport;Airport building (not terminal or hangar)
Non Residential;Transport;Ambulance station
Non Residential; Agriculture;Animal boarding/breeding establishment - cats
Non Residential; Agriculture;Animal boarding/breeding establishment - dogs
Outdoor;Outdoor;Animal harm outdoors
Non Residential;Industrial;Animal products processing plant
Non Residential;Leisure;Art Gallery
Non Residential;Leisure;Athletics Stadium
Non Residential; Retail;Bakery
Non Residential; Retail;Bank/Building Society
Outdoor Structure;Outdoor Structure;Barbecue
Boat;Boat;Barge
Non Residential; Agriculture;Barn
Outdoor;Outdoor;Beach
Road Vehicle;Road Vehicle;Bicycle
Non Residential; Retail;Bingo Hall
Other Residential;Accommodation;Boarding House/B&B for homeless/asylum seekers
Other Residential;Accommodation;Boarding House/B&B other
Other Residential;Collective;Boarding School accommodation
Boat;Boat;Boat - Tanker
Outdoor Structure;Outdoor Structure;Bridge
Non Residential;Storage;Bulk gas storage
Non Residential;Storage;Bulk hazardous materials storage
Non Residential;Storage;Bulk oil storage
Non Residential;Storage;Bulk waste storage
Dwelling;House;Bungalow - single occupancy
Road Vehicle;Road Vehicle;Bus/coach
Non Residential;Transport;Bus/coach station/garage
Outdoor Structure;Outdoor Structure;Cables
Non Residential;Office;Call Centre
Outdoor Structure;Outdoor Structure;Camping tent
Outdoor;Outdoor;Canal/riverbank vegetation
Road Vehicle;Road Vehicle;Car
Road Vehicle;Road Vehicle;Caravan on tow
Dwelling;Mobile;Caravan/Mobile home (permanent dwelling)
Non Residential; Retail;Casino
Dwelling;Prestige;Castle (part not open to public)
Non Residential;Religious;Cathedral
Outdoor;Outdoor;Cemetery
Non Residential;Office;Central Government Office
Non Residential;Industrial;Chemical plant
Other Residential;Collective;Children's Home
Non Residential;Religious;Church/Chapel
